Info	Severity
19717  >  6068 [SYN] Seq=0 Win=4128 Len=0 MSS=1460	0
"6068  >  19717 [SYN, ACK] Seq=0 Ack=1 Win=4128 Len=0 MSS=1460"	0
19717  >  6068 [ACK] Seq=1 Ack=1 Win=4128 Len=0	0
Adjacency Message (Syn)	0
Adjacency Message (Syn)	0
Adjacency Message (SynAck)	0
Adjacency Message (Ack)	0
Adjacency Message (Ack)	0
19717  >  6068 [ACK] Seq=145 Ack=145 Win=3984 Len=0	0
Adjacency Message (Ack)	0
Adjacency Message (Ack)	0
19717  >  6068 [ACK] Seq=193 Ack=193 Win=3936 Len=0	0
Adjacency Message (Ack)	0
Adjacency Message (Ack)	0
19717  >  6068 [ACK] Seq=241 Ack=241 Win=3888 Len=0	0
Adjacency Message (Ack)	0
Adjacency Message (Ack)	0
6068  >  19717 [ACK] Seq=289 Ack=289 Win=3840 Len=0	0
Adjacency Message (Ack)	0
Adjacency Message (Ack)	0
6068  >  19717 [ACK] Seq=337 Ack=337 Win=3792 Len=0	0
19717  >  6068 [ACK] Seq=337 Ack=337 Win=3792 Len=0	0
Port-Management Message	0
19717  >  6068 [ACK] Seq=337 Ack=417 Win=3712 Len=0	0
Port-Management Message	0
6068  >  19717 [ACK] Seq=417 Ack=421 Win=3708 Len=0	0
Adjacency Message (Ack)	0
Adjacency Message (Ack)	0
6068  >  19717 [ACK] Seq=465 Ack=469 Win=3660 Len=0	0
Adjacency Message (Ack)	0
Adjacency Message (Ack)	0
19717  >  6068 [ACK] Seq=517 Ack=513 Win=3616 Len=0	0
Port-Management Message	0
19717  >  6068 [ACK] Seq=517 Ack=593 Win=3536 Len=0	0
Port-Management Message	0
6068  >  19717 [ACK] Seq=593 Ack=573 Win=3556 Len=0	0
Adjacency Message (Ack)	0
Adjacency Message (Ack)	0
19717  >  6068 [ACK] Seq=621 Ack=641 Win=3488 Len=0	0
Adjacency Message (Ack)	0
Adjacency Message (Ack)	0
19717  >  6068 [ACK] Seq=669 Ack=689 Win=3440 Len=0	0
Port-Up Message	0
6068  >  19717 [ACK] Seq=689 Ack=761 Win=3368 Len=0	0
Port-Up Message	0
6068  >  19717 [ACK] Seq=689 Ack=853 Win=3276 Len=0	0
Port-Down Message	0
6068  >  19717 [ACK] Seq=689 Ack=929 Win=3200 Len=0	0
Port-Down Message	0
6068  >  19717 [ACK] Seq=689 Ack=1005 Win=3124 Len=0	0
Adjacency Message (Ack)	0
Adjacency Message (Ack)	0
19717  >  6068 [ACK] Seq=1053 Ack=737 Win=3392 Len=0	0
Port-Up Message	0
6068  >  19717 [ACK] Seq=737 Ack=1145 Win=2984 Len=0	0
Port-Up Message	0
6068  >  19717 [ACK] Seq=737 Ack=1237 Win=2892 Len=0	0
Adjacency Message (Ack)	0
Adjacency Message (Ack)	0
19717  >  6068 [ACK] Seq=1285 Ack=785 Win=3344 Len=0	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
"Diag: No Diagnostic, State: Down, Flags: 0x04"	0
